sItem;sDesc;SECTION
CAJUNSPICE;CAJUN SEASONING (650G);SEC UNIT
CANDRY24;CANADA DRY - CLUB SODA 24X355ML (ECOFEE 0.32 INCLUDED);SEC
GINGCAN;CANADA DRY - GINGER ALE 32X355ML (ECOFEE 0.32 INCLUDED);SEC
PAM;CANOLA BAKING SPRAY (6X400G);SEC UNIT
CANOIL;CANOLA OIL (16L);SEC
CPRS;CAPERS CAPPUCCINE 2X3.78L;SEC
MILKCARN;CARNATION - EVAPORATED MILK (6X354ML);SEC UNIT
PAPERTOW;CASCADES - 100% RECYCLED BROWN HAND PAPER TOWEL ROLL X12;SEC
CASCFLUFF;CASCADES FLUFF 0613 PAPIER HYGIEN. 2PLY BATH. TISSUE (40UN);SEC
PEPCAYEN;CAYENNE PEPPER (1.8KG);SEC UNIT
WAXPAPBLK;CHEKERED BLACK AND WHITE WAX PAPER LINER (2000UN);SEC
CHIASEED;CHIA SEEDS / 1KG;SEC UNIT
SPICECHICK;CHICKEN SPICE MTL STYLE (2.8KG);SEC UNIT
PASTECHILISOYPCS;CHILI PASTE WITH SOYBEAN OIL - PANTAI / 500G;SEC UNIT
POWCHILI;CHILI POWDER (2KG);SEC UNIT
CHIMIBLUE;CHIMISOL BLUE KITCHEN & FLOOR (4L);SEC UNIT
CHIMIGREEN;CHIMISOL GREEN SANITISER WITH BLEACH (4L);SEC UNIT
CHIMIORANGE;CHIMISOL ORANGE WALL FLOOR (4L);SEC
CHIMIRED;CHIMISOL RED GRILL CLEANER (4L);SEC UNIT
CHINCOOK;CHINESE COOKING WHINE VINEGAR / 12 X 600ML;SEC
CHOPSTICK20;CHOPSTICKS 20CM BAMBOO (2000PAIRS);SEC
PS7833;CIMO - CAFE ESPRESSO SAC BLEU 2KG;SEC UNIT
CINSTICKS;CINNAMON STICKS / BATONNETS DE CANNELLE 700G;SEC UNIT
CLASSIBLUE20;CLASSI-K - BLUE RINSE AGENT (20L);SEC
CLASSIORANGE10;CLASSI-K - ORANGE FLOOR CLEANER (10L);SEC
CLASSIPINK10;CLASSI-K - PINK HAND SOAD (10L);SEC
CLASSIYELLAP10;CLASSI-K - YELLOW ALL PURPOSE CLEANER (10L);SEC
CLASSIYELLDWL10;CLASSI-K - YELLOW DISHWASHING LIQUID (10L);SEC
BTCUPS;CLEAR BUBBLE TEA CUPS (NO LIDS) 700ML (500 UNITS);SEC
BAGCL3550;CLEAR GARBAGE BAGS 35X50 (100UN);SEC
BAGCL2224;CLEAR KITCHEN BAGS 22X24 (500UN);SEC
LIDS4BOL150;CLEAR LIDS #150 FOR 26OZ BOWL;SEC
LIDS4BOL165;CLEAR LIDS #165 FOR 38OZ BOWL (300UN);SEC
LIDS4BOL90;CLEAR LIDS #90 FOR 8OZ BOWL;SEC
LIDS4BOL97;CLEAR LIDS #97 FOR 16 OZ BOWL / 500 UNITS;SEC
BLCKBEAN;CLIC - BLACK TURTLE BEAN - 6 X 2.84 L;SEC
CLIC;CLIC - CHICKPEAS IN CANS (6X2.84L);SEC
COUSCOUSMED5;CLIC - MEDIUM COUSCOUS / 10 KG;SEC UNIT
CHICKPEAS10;CLIC - POIS CHICHES / 10 KG;SEC
COCA32;COCACOLA ORIGINAL 32X355ML (ECOFEE 0.32 INCLUDED);SEC
COCAZERO32;COCA-COLA ZERO 32X355ML (ECOFEE 0.32 INCLUDED);SEC
PALMSCOCKBRAND;COCK BRAND - PALM SUGAR / 24 X 454G;SEC
PASTECURRED;COCK BRAND - RED CURRY PASTE / 12 X 1KG;SEC
PASTECURREDPCS;COCK BRAND - RED CURRY PASTE / 1KG;SEC UNIT
PASTECURYEL;COCK BRAND - YELLOW CURRY PASTE / 12 X 1KG;SEC
PASTECURYELPCS;COCK BRAND - YELLOW CURRY PASTE / 1KG;SEC UNIT
COKEDT32;COKE DIET 32X355ML (ECOFEE 0.32 INCLUDED);SEC
ONICOL;COLOSSAL ONIONS 50LBS;SEC 2
STARCHCORN;CORN STARCH 20KG;SEC
CRABPSTSOYPCS;CRABE PASTE WITH SOY BEAN OIL  / 430G;SEC UNIT
PEPPERBLKCRACK;CRACKED BLACK PEPPER (1.7KG);SEC UNIT
JUICECRAN;CRANBERRY JUICE (2X1.89L);SEC UNIT
CRUSHOR24;CRUSH ORANGE SODA / 24X355ML (ECOFEE 0.24 INCLUDED);SEC
PEPCAYENCRUSH;CRUSHED CAYENNE PEPPER (1.4KG);SEC UNIT
CHISPOOBAGA;CUILLERE A SOUPE CHINOISE EN BAGASSE (X1000);SEC
POWCURRY;CURRY POWDER (2.2KG);SEC UNIT
MAYOD;DAMEN MAYONNAISE (15LT);SEC
POIVRONROUGEGRILL;DANIEL'S - ROASTED RED PEPPER STRIPS / 1 X 2.84L;SEC UNIT
SUGARDRKBROWN;DARK BROWN SUGAR (20KG);SEC
DARKSOYRED;DARK SOYA P.R (RED LABEL) / 2 X 8L;SEC UNIT
DAWN378;DAWN (POMP) DISHWASHER DETERGENT (3.78L);SEC UNIT
CONTDELI12;DELI 12OZ PLASTIC CONTAINER / LIDS INCLUDED (240UN);SEC
CONTDELI16;DELI 16OZ PLASTIC CONTAINER / LIDS INCLUDED (240UN);SEC
CONTDELI32;DELI 32OZ CONTAINER - LIDS INCLUDED (240 UNITS);SEC
CONTDELI8;DELI 8OZ PLASTIC CONTAINER / LIDS INCLUDED (240UN);SEC
TOMDEM;DEMERS - HYDRO TOMATOES 15LBS;SEC 2
DIJ-002;DIJON MUSTARD 3.78L - MAILLE;SEC
NAPKWHITE;DINNER NAPKIN / 1 PLY / 3000 UNITS;SEC
DINERNAP2;DINNER NAPKIN 2 PLY (3000 UNITS);SEC
ANCHODRIED;DRIED CHILI ANCHO 5LBS;SEC
PASILLA;DRIED CHILI PASILLA 5LBS;SEC
DRYCRAN;DRIED CRANBERRIES / CANNEBERGE SECHE 1.8KG;SEC UNIT
BONITOFLAKE;DRIED SHAVED BONITO / 6 X 453 GR;SEC
GUAJILL;DRIED WHOLE CHILI GUAJILLO (5LBS);SEC
DULCE;DULCE DE LECHE SPREAD (5KG);SEC
RICESTICKM;ERAWAN - BÂTONNETS DE RIZ MOYENS / 30 X 454G;SEC
RICESTICKXL;ERAWAN - RICE STICKS *XL* (30X454G);SEC
RICESTICKS;ERAWAN - RICE STICKS SMALL /  30 X 454G;SEC
PAPTOWCASC60;EVEREST PRO - WHITE PAPER TOWEL ROLLS (X12);SEC
WATEVIANGLS;EVIAN - NATURAL WATER INGLASS  / 12 X 750ML;SEC
BAGBLK3550;EXTRA STRONG BLACK GARBAGE BAGS 35X50 (100UN);SEC
OASAPP12;FAIRLEE - APPLE JUICE  / 12 X 1L;SEC
JUSORANGE;FAIRLEE - ORANGE JUICE / 12 X 1L;SEC
JUSANA;FAIRLEE - PINEAPPLE JUICE / 12 X 1L;SEC
FETT;FETTUCCINE / 20LBS;SEC
FEVERGING;FEVERTREE - GINGER BEER (24X250ML);SEC
INSTANTYEAST;FLEISCHMANNS - INSTANT DRY YEAST / 454G;SEC UNIT
FDSEL;FLEUR DE SEL - 1 X 1.36 KG;SEC
HIBISCUS5LBS;FLOR DE JAMAICA - HIBISCUS FLOWER 5LBS;SEC
FOCOCOCO;FOCO - COCONUT DRINK 24X350ML;SEC
FOCOLYCHEE;FOCO - LYCHEE JUICE 24X350ML;SEC
FOCOMANGO;FOCO - MANGO NECTAR 24X350ML;SEC
FOCOROASTCOCO;FOCO - ROASTED COCONUT 24X350ML;SEC
FOCOCOCOWATER;FOCO COCONUT WATER (12 X 1L);SEC
FRANKCAYEN;FRANKS - REDHOT SAUCE PIMENT DE CAYENNE (4X3.78L);SEC UNIT
REDHOTCHFRANK;FRANKS REDHOT - SWEET CHILI SAUCE (4 X 1.89L);SEC UNIT
MUSTFRENCH2;FRENCHS - YELLOW MUSTARD (2 X 2.84L);SEC UNIT
FRYONIPCS;FRIED CRISPY ONIONS (400G);SEC UNIT
FRYGAR;FRIED GARLIC / 450G;SEC
FRYONI;FRIED ONIONS (15X400G);SEC
BAGROLL;FRUIT PLASTIC BAG ROLLS 10.5''X15'' (2UN);SEC
SUNMED6;FRUIT SALAD COCKTAIL - 6 X 2.84L;SEC
FUSILLI;FUSILLI DE PÂTES (9.07 KG);SEC
FUZEC;FUZE ICED TEA / 32 X 341ML (ECOFEE 0.32 INCLUDED);SEC
CROUT5;GARLIC CROUTONS (5KG);SEC
POWGARL;GARLIC POWDER (2KG);SEC UNIT
SELAIL5.5KG;GARLIC SALT (5.5KG);SEC
GGERAMENOR;GGE WHEAT CRACKER - ORIGINAL RAMEN 15X80G;SEC
SACSANDWICH;"GIANT DRY WAXED SANDWICH BAGS (6"" X 2"" X 9"")  / 1000UN";SEC
DRK-001;GINGER BEER - GREAT GENTLEMAN 6X250ML;SEC
POKESAUCE378;GLUTEN FREE POKE SAUCE 6X378ML;SEC
GOCHUJIANG1;GOCHUJIANG / 1KG;SEC UNIT
SAUCEGOLDMNT;GOLDEN MOUNTAIN  - SOYBEAN SAUCE SEASONING SAUCE / 12 X 600ML;SEC
TEMPURATENDAMA;GOLDEN SEA - TENDAMA TEMPURA TENKASU (6X1KG);SEC
RICEGOLDENSW;GOLDEN SWALLOW - DONGGUAN RICE VERMICELLI (50 X 400G);SEC
SUSHIRCGOZ;GOZEN - SUSHI SHORT GRAIN RICE (50LBS);SEC
GRAHAM;GRAHAM CRUMBS (5KG);SEC
GARGRAN;GRANULATED GARLIC (2.5KG);SEC UNIT
PADSCOUR;GREEN SCOURING PADS (X18);SEC UNIT
SOYAPAPGR;GREEN SOYA PAPER (X10PACKS);SEC
PEPPERBLKGR;GROUND BLACK PEPPER (1.9KG);SEC UNIT
CINNGRND;GROUND CINNAMON (1.6KG);SEC UNIT
CUMINGRND;GROUND CUMIN (2KG);SEC UNIT
TURMGRND;GROUND TURMERIC (2KG);SEC UNIT
PEPPERWHGR;GROUND WHITE PEPPER (2.2KG);SEC UNIT
GUM-010;GUMMY KASUGAI MANGO (24X102G);SEC
PAPTOWCASC30;H030 - CASCADES WHITE TOWELS (12X350);SEC
CASLH17;H175 - CASCADE PRO BROWN MULTIFOLD PAPER  (X16);SEC
NOODHM;HANDMADE NOODLES / 18 X 440G;SEC
HARICOTCAN;HARICOTS ROUGES EN CONSERVE (6X2.84L);SEC
HEINEKENZERO;HEINEKEN ZERO (24 X 330ML);SEC
KETCHUP2X1.25L;HEINZ - KETCHUP (4 X (2X1.5L));SEC UNIT
HEINZKETCHUP4;HEINZ - KETCHUP IN PLASTIC JAR *BIG RED* (4X2.84L);SEC
KETCH12X375;HEINZ - KETCHUP SQUEEZE BOTTLE / 24 X 375ML;SEC
HELLMANMAYO4;HELLMANNS - MAYONNAISE (4L);SEC
MAYO12X340;HELLMANN'S - MAYONNAISE SQUEEZE BOTTLE / 12 X3 40ML;SEC
MAYOSPICY378;HELLMANS - SPICY MAYONNAISE (2 X 3.78L);SEC UNIT
MARU-010;HIME MARU AMANOYA (20X98G);SEC
SAUCEHOISIN65;HOISIN SAUCE / 6 X 5LBS;SEC
HONEYBIO1;HONEY BIO (1KG);SEC UNIT
SAUCTOMBOX;HUNT'S - SAUCE TOMATE (12 X 680ML);SEC
SAMOLEK;HUY FONG - SAMBAL OELEK / 3 X 3.5L;SEC
SRISAU;HUY FONG - SRIRACHA HOT SAUCE / 12 X 28OZ;SEC
TOMHYDRO;HYDRO TOMATOES (15LBS);SEC
INSULATED10.5;INSULATED ALUMINIUM SHEET 10.5X13 (1000UN);SEC UNIT
ALUMIINSUL;INSULATED ALUMINIUM SHEET 12X 12 (2 X 1000UN);SEC
ALUMI14X14;INSULATED ALUMINIUM SHEET 14X14 ( 2 X 1000 UN);SEC
NAPKDISP;INTERFOLD DISPENSER WHITE NAPKINS / 2-PLY / 20 X 300 UNITS;SEC
JARRGRPFRT;JARRITOS GRAPEFRUIT (24X370ML);SEC
JARRLIME;JARRITOS LIME (24X370ML);SEC
JARRMANDA;JARRITOS MANDARIN (24X370ML);SEC
JARRMANGO;JARRITOS MANGO (24X370ML);SEC
JARRPINE;JARRITOS PINEAPPLE (24X370ML);SEC
JARRSTRAW;JARRITOS STRAWBERRY (24X370ML);SEC
JARRTAMA;JARRITOS TAMARIND (24X370ML);SEC
