Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
BROCCROWN,CROWN BROCCOLI,34.0000 
BROCCROWNHALF,( HALF / DEMI ) BROCOLI CROWN,22.0000 
BROCFLEUR,5KG PRECUT BROCCOLI FLORETS,54.9000 
BROCHALF,(HALF) BOX BROCCOLI SIZE 14,22.5000 
BROCPCS,PCS BROCCOLI CROWN,1.5000 
BRUSLBS,LBS BRUSSEL SPROUTS,2.4000 
BRUSSEL,FRESH BRUSSELS SPROUTS (25 LBS),48.9500 
BSFF,7/16 ZARRA FF,0.0000 
BTCUPS,CLEAR BUBBLE TEA CUPS (NO LIDS) 700ML (500 UNITS),124.9000 
BTE-004,BOITE DÉCOUVERTE,49.9500 
BTLDEP,BOTTLE DEPOSIT,0.1000 
BUBBLETEASTRAW,BUBBLE TEA BLACK STRAWS INDIVIDUAL PACKED (BOX),144.8500 
BUBSTRAW,STRAWS FOR BUBBLETEA 8 INCH PLASTIC 20X100,96.4000 
BUCKNOOD,BUCKWHEAT NOODLES (12 X 3LBS),89.9000 
BULDAK,BULDAK - RAMEN SNACK BIG BOX,64.9500 
BULDAK4CHEES,BULDAK - RAMEN QUATTRO CHEESE,68.0500 
BULDAKHOT,BUL0DAK HOT CHICKEN BOWL (16 X 105G),36.9500 
BULDCARBO,BUL-DAK RAMEN CARBONARA (8 PACKS),69.9000 
BULDCHEES,BUL-DAK RAMEN CHEESE (8 PACKS),69.9000 
BULDSPIC,BUL-DAK RAMEN SPICY (8 PACKS),64.9500 
BURG786,BREAD (786) SOHO BURGER BUN,47.0500 
BURG841,BREAD (841) BURGER CHICAGO 6INCH,42.2500 
BURG842,BREAD (842) HOT DOG CHICAGO 7INCH,41.9000 
BURGBF,BURGUL FINE BROWN 10X907G,27.7500 
BURGBFF,(5315) 3/8 CLEARCOAT,34.5500 
BURGBMOZZ,CAVENDISH MOZZA STICKS (19180),39.5500 
BURGERFAL,FALAFEL BURGER (54 X 90G),5.0000 
BURGERSLC,SUB - YELLOW CHEDDAR STYLE CHEESE SLICES 2X2KG,46.0000 
BURGRW,BURGUL ROUGH WHITE 10X907G,27.7500 
BURNB,BURNBRAE - LARGE WHITE EGGS IN CLOSED DOZENS (15X12UN),61.9500 
BURRATA,BURRATA (2 X 250G),23.9500 
BUTCUP,KABOCHA SQUASH FRESH (30LBS),62.9500 
BUTNUTPCS,PCS BUTTERNUT SQUASH,2.8500 
BUTSALT,SALTED BUTTER (25X454GR),164.8500 
BUTTERSALTPCS,SALTED BUTTER (454G),7.2500 
BUTTERUNSALT,UNSALTED BUTTER FULL BOX (25X454GR),164.8500 
BUTTERUNSALTPCS,UNSALTED BUTTER (454G),7.2500 
BUTTSQUA,COURGE BUTTERNUT,46.9500 
BUTTSQUAHALF,HALF COURGE BUTTERNUT,23.9000 
BWLCLEANER,CUVEX - BOWL CLEANER / NETTOYANT A CUVETTE 1L,7.0000 
CABANDCAR10KG,FRESH - SHREDDED GREEN CABBAGE & CARROTS (10 KG),29.5000 
CABBFLAT,FLAT CABBAGE (40LBS),44.9500 
CABBFLATPCS,PCS FLAT CABBAGE,5.8500 
CABBG,CABBAGE GREEN 50LBS,15.4500 
CABBGHALF,HALF CABBAGE GREEN 50LBS,7.8500 
CABBNAP,NAPA CABBAGE,33.0000 
CABBNAPHALF,(HALF) NAPA CABBAGE,21.5000 
CABBNAPPCS,( PCS ) NAPA CABBAGE,3.6000 
CABBPCS,( PCS ) CABBAGE GREEN,3.0000 
CABBRED,RED CABBAGE ( APPROX 40 POUNDS BOX ),29.5000 
CABBREDHALF,( HALF CASE ) RED CABBAGE,15.0000 
CABBREDPCS,( PCS ) RED CABBAGE,3.2500 
CABBSAVOY,SAVOY CABBAGE,49.4500 
CABBTOSCANE,TOSCANE KALE (24UN),36.0000 
CABSHRED,SHREDDED CABBAGE ONLY  (4X2KG),34.7000 
CAFEFLAT,FLAT BOX CAFE MUSHROOMS,17.5000 
CAFEFLATBIG,** BIG PIECES ** FLAT BOX CAFE MUSHROOMS,17.5000 
CAISSETOMATEDES,STONEY CREEK -  DICED TOMATOES / 6 X 2.84L,39.9500 
CAJUNNUTS,RAW CASHEW (1KG),22.3000 
CAJUNSPICE,CAJUN SEASONING (650G),12.0000 
CAKEMCCAIN,GATEAU MCCAIN CHOCOLAT DEEP AND DELICIOUS,10.9500 
CALDRESS,CALIFORNIA DRESSING BOTTLE,18.4500 
CALI,CAULIFLOWER,26.9000 
CALIORANGE,CALIFORNIA NAVEL ORANGE BOX,46.9500 
CALIPCS,PCS CAULIFLOWER,3.0500 
CALIPURP,PURPLE CAULIFLOWER ,25.1500 
CALPICOWH,CALPICO ORIGINAL (500ML),5.0000 
CAMPBELL,HEINZ - TOMATO SOUP IN CANS (12 X 1.36L),87.9500 
CANDEP,CAN DEPOSIT,1.2500 
CANDRY24,CANADA DRY - CLUB SODA 24X355ML (ECOFEE 0.64 INCLUDED),17.7000 
CANDRYTONIC,SODA TONIC / CAN.DRY / 12 X 355ML,13.3000 
CANELO,FROZEN CANNELLONI BEEF (50X50G),32.5500 
CANLEG,ST-HUBERT - SOUPE AU LEGUMES EN CANNES 24X540ML,94.9000 
CANMEL,CANARY MELON #5,44.9000 
CANNEMAIS,CREAMED CORN / 2.84L,12.0000 
CANOIL,CANOLA OIL (16L),45.4500 
CANSPEC,GOLDEN - SPECTRA CANOLA OIL 16L,45.4500 
CANT,CANTALOUPES REGULAR SIZE 12,29.0000 
CANTLRGE,CANTALOUPES JUMBO SIZE 9,25.5000 
CANTPCS,PCS CANTALOUPE  SIZE **#15**,3.5000 
CARAMELPORT,OLD STYLE - CARAMEL PORTION / 200X20GR,37.8500 
CARAMELTOP,MC LEAN - CARAMEL SUNDAY TOPPING (5 X 1L),33.0000 
CARAW,CARAWAY GROUNDED 5LBS,25.0000 
CARDIN,CARDINAL - 1634 HAMBURGER PORTION 4OZ (4.08KG),53.9500 
CAROT5,5LBS CARROTS,4.9000 
CAROTBABY,FRESH BABY CARROTS MINI ( 40UN ) (CASE),58.9000 
CAROTBABYUN,CAROTTE MINI SAC / SMALL BAG FRESH BABY CARROTS MINI,1.6500 
CAROTJ,JUMBO CARROTS (50LBS),39.0000 
CAROTLBS,LBS CARROTS,0.9900 
CAROTSUP,SUPER ** JUMBO ** CARROTS (50LBS),47.5000 
CARROT25,CARROTS 10KG,18.9500 
CARTOUCHEAZ,N02 CREAM CHARGER (X10),13.9500 
CASCFLUFF,CASCADES FLUFF 0613 PAPIER HYGIEN. 2PLY BATH. TISSUE (40UN),30.5500 
CASLH17,H175 - CASCADE PRO BROWN MULTIFOLD PAPER  (X16),29.9500 
CASSONADE1KG,CASSONADE FONCEE 1KG,5.0000 
CAV-002,SALMON CAVIAR 100GRMS,16.1500 
CAV-010,RED TOBIKO - 20 X 500 GR - WISMETTAC,544.5000 
CAV-010/UNIT,RED TOBIKO - 1 X 500GR - WISMETTAC,29.9000 
CAV-011,NAGOMI - RED TOBIKO / GLUTEN FREE / FULL BOX (12X500G),399.6500 
CAV-011/UNIT,*GLUTEN FREE* RED TOBIKO - 1 X 500GR - NAGOMI,35.9500 
CAV-013,CAVIAR TRUITE ARC EN CIEL,34.0500 
CAV-015,ORANGE TOBIKO - 20 X 500GR - WISMETTAC,544.5000 
CAV-015/UNIT,ORANGE TOBIKO - 1 X 500GR - WISMETTAC,29.9000 
CAV-016,CAVIAR MUJOL 100 GRS,0.0000 
CAV-017,CAVIAR SOCKEYE 500GRS,82.9500 
CAV-019,CAVIAR MUJIOL 550 GR - ESP,65.9500 
CAV-020,SALMON CAVIAR KING - (1X500GR) - ALASKA,86.5500 
CAV-021,BLACK CAVIAR OSETRA (1 X 100G),203.8000 
CAV9/32,CAVENDISH 9/32  FINE COAT (07710),45.0500 
CAVDICESEAS,CAVENDISH (05999) DICED SEASONED,59.0000 
CAVDOL,CAVENDISH (42550) DOLLAR CHIPS,49.5000 
CAVENRR,FRENCH FRY - CAVENDISH 3/8 RR,38.0000 
CAVJULSW,CAVENDISH (36811) JULIENNE SWEET FRIES,45.0500 
CAVMOZZ,CAVENDISH - MOZZARELLA CHEESE STICKS (19180),42.2500 
CAVOR,CAVENDISH (18130) ONION RINGS (4KG),33.7500 
CAVROND,CAVENDISH (42555) DOLLAR RONDELLES BREAKFAST,54.5000 
CAVRR,CAVENDISH (4013) *RR* STEAKCUT FF,44.0500 
CAVRR9/32,(01001) CAVENDISH *RR* 9/32 FRIES,0.0000 
CAVSEL,CAVENDISH SELECT PLUS 1/4 SKIN ON,43.7500 
CAVSW3/8,CAVENDISH 3/8 CUT SWEET FRIES,45.0500 
CAVWEDGE,CAVENDISH (5998) WEDGE,53.2000 
CC-101,"Ferro - Crevettes nordiques - 227g,",8.3500 
CC-1032,Ferro - Morue - 180g,9.1500 
CC-105,Ferro - Crevettes roses d'argentine - 227g,9.1500 
CC-1151,Ferro - Thon Poke- 227 g,10.8000 
CC-1181,Ferro -Steak de thon 168g,10.8000 
CC-121,"Ferro - Pétoncles 10-20 - 180g,",10.0000 
CCC,CAVENDISH (5315) CLEARCOAT 3/8,38.4500 
CCC5314,CAVENDISH 05314 CLEAR COAT 3/8 FRIES STRAIGHT CUT 6X2.04KG,37.7500 
CCS,CAVENDISH (5313)* COATED 9/32 SHOESTRING CUT,44.2500 
CD1L,PUTTERS -  CRUNCHY DILL PICKLES IN JARS (12X1L),49.9500 
CELBATON4,5KG PRECUT CELERY STICKS,62.4500 
CELCHI,CHINESE CELERY PACK,7.5000 
CELEROOT,CELERY ROOT,23.4500 
CELLOCAR,CELLO CARROTS (10X5LBS),29.5000 
CELLOCAR24X2,CELLO CARROTS (24X2LBS),68.7000 
CELPCS,( PCS ) CELERY,1.6500 
CELROOTPCS,PCS CELERY ROOT,3.2500 
CELUS,CELERY (24UN),31.5000 
CELUSHALF,( HALF / DEMI ) CELERY / CELERI  =12UN,16.0000 
CERF,CERFEUILLE (6X1 CLAMSHELLS),15.0000 
CHAMPXL,CHAMPIGNON NUM.1 XL,15.0000 
CHANTEREL,CHANTERELLE MUSHROOM FRESH (1KG),64.7000 
CHARCOAL8,CHARCOAL (8KG),26.3500 
CHARGE,,0.0000 
CHARGETX,,0.0000 
CHASHOULD,FROZEN PORK SHOULDER CHASHU - SHIRAKIKU -  (AV WT - 12LBS),146.8500 
CHAYOT,CHAYOTE FRESH BOX,50.9500 
CHECAKERASP,RASPBERRY GREEK YOGOURT CHEESECAKE (2X),114.9000 
CHEDWHTBLOC,SAINT-ALBERT- FROMAGE CHED. 2.27KG BLANC DOUX BLOC,35.9500 
CHEERIOS,MULTIGRAINS CEREAL  / 1.24KG,15.0000 
CHEESBRIEBAG,BRIE BAGUETTE CHEESE / 1.5KG,32.5500 
CHEESECAKE,DABOOM - FROZEN CHEESECAKE / CARAMEL AND CARROT (2X2.5KG),110.9000 
CHEESEPIE,CHEESE PIE (5 X 1KG),77.2000 
CHEESEREG,VALIO GRAN REGALE CHEESE / 1 KG,25.0000 
CHEFNUTRI,CHEF NUTRI - MOZZ RAPE STYLE ITALIEN (4 X 2KG),79.9500 
CHEQUE,*** RAMASSER CHEQUE SVP - PICK-UP CHECK PLEASE ***,0.0500 
CHERGROUND,GROUND CHERRIES,31.9500 
CHERRY,RED CHERRIES,109.9000 
CHERRYCOL,FLEISCHERS - ORIGINAL CHERRY COLA (24 X 473ML),29.9500 
CHERSOUR,FROZEN SOUR CHERRY (1KG),11.0000 
CHEVEM,GOAT CHEESE CRUMBS 1KG,33.0000 
CHGREEKSEAS,CLUB HOUSE - GREEK SEASONING 510G,25.0000 
CHIASEED,CHIA SEEDS / 1KG,17.5000 
CHIC,CHICORY,44.2500 
CHICBABY,BABY CHICORY,46.9500 
CHICBABYBB,BIG BOX BABY CHICORY / BEBE CHICOREE GROSSE BOITE,43.9500 
CHICBABYPCS,PCS BABY CHICOREE,4.9500 
CHICDIP,MAPLE LEAF - 64004 CHICKEN DIPPERS,87.5000 
CHICKBFT20,CHICKEN BREAST FULL TRIM / 20KG,309.7000 
CHICKBFT5,CHICKEN BREAST FULL TRIM / 5KG,77.4500 
CHICKBONES,CHICKEN BONES / BOX,15.9500 
CHICKBR20,BONELESS CHICKEN BREAST NO SKIN / 20KG,274.7500 
CHICKBR5,BONELESS CHICKEN BREAST NO SKIN / 5KG,68.7000 
CHICKBRKG,BONLESS CHICKEN BREAST NO SKIN / KG,13.7500 
CHICKBRPIRI,100890 POULET MARINEE PIRI PIRI MITCH DELI,5.0000 
CHICKBRREUV,REUVEN- FROZEN COOKED BBQ CHICKEN WINGS (2X2KG),55.5500 
CHICKBRREUV10500,REUVEN - 10500 FULLY COOKED BATTERED CHICKEN BREAST CHUNKS (2X2KG),71.9000 
CHICKBRREUV10522,REUVEN - 10522 FULLY COOKED CRISPY BREADED CHICKEN BREAST FILLETS (2X2KG),66.7000 
CHICKBURG,CHICKEN BURGERS,57.7000 
CHICKCUBKNOR,KNORR - CHICKEN BROTH 1KG,14.2500 
CHICKDRUM,FRESH CHICKEN DRUMSTICK (KG),5.2500 
CHICKENLEG20KG,CHICKEN LEGS / SKIN ON / BONE OFF / 20 KG,206.8000 
CHICKFING,CHICKEN FINGERS #64250,69.0000 
CHICKGROUND,FRESH GROUNDED CHICKEN /  KG,10.9500 
CHICKLEG5KG,CHICKEN LEGS / SKIN ON / BONE OFF / 5 KG,51.7000 
CHICKLEGBON,BONE *IN* / SKIN OFF - FRESH CHICKEN LEGS,7.0000 
CHICKLEGSOFFKG,FRESH CHICKEN LEGS SKINOFF BONEOFF (KG),10.9500 
CHICKNUG,GOLDEN MAPLE - CHICKEN NUGGETS (2X2KG),26.9500 
CHICKNUGGET,NUGGETS,58.2000 
CHICKPEAS10,CLIC - CHICKPEAS / 10KG,27.5000 
CHICKPIE,UNCOOKED CHICKEN PIE 8 INCH (10 X 510GR),69.9500 
CHICKPOPPIRI,100891 POULET POP CORN PIRI PIRI MITCH DELI,5.0000 
CHICKSKINKG,CHICKEN SKIN / KG,2.5000 
CHICKSTRIPOLY,OLYMEL - CHICKEN FILLETS,46.1500 
CHICKTHIGH20KG,BONELESS CHICKEN THIGH NO SKIN / 20KG,269.7500 
CHICKTHIGH5KG,BONELESS CHICKEN THIGH NO SKIN / 5KG,67.4500 
CHICKTHIGHKG,BONELESS CHICKEN THIGH NO SKIN / KG,13.5000 
CHICKWINGS,MAPLE LEAF - CHICKEN WINGS #17345,65.5000 
CHICKWINGSCUT,FRESH CHICKEN WINGS CUT /  KG,8.9000 
CHICKWINGSOLY,OLYMEL - CHICKEN WINGS,41.5000 
CHICKWINGSWHOLE,FRESH WHOLE CHICKEN WINGS / KG,7.5500 
CHIMIBLUE,CHIMISOL BLUE KITCHEN & FLOOR (4L),11.4500 
CHIMIGREEN,CHIMISOL GREEN SANITISER WITH BLEACH (4L),8.0000 
CHIMIORANGE,CHIMISOL ORANGE WALL FLOOR (4L),11.4500 
CHIMIRED,CHIMISOL RED GRILL CLEANER (4L),8.0000 
CHINCOOK,CHINESE COOKING WHINE VINEGAR / 12 X 600ML,34.5000 
CHINEGGLBS,LBS CHINESE EGGPLANT,3.3500 
CHINESE,FRESH CHINESE LETTUCE,53.9500 
CHIO,CHIOGGA BEETS (25LBS),26.7000 
CHIPADO,SAN MARCOS - CHIPOTLE PEPPERS (12 X 830ML),77.9500 
CHIPSAUCE,LAS CHAPULAS - CHIPOTLE SAUCE 3L,26.7000 
CHIPSTURTLE,TURTLE CHIPS CHOCO CHURROS 14 X 160G,63.0500 
CHISPOOBAGA,BAGASSE CHINESE SOUP SPOON (X1000),39.9500 
CHIV,BOX CHIVES (12UN),19.7500 
CHIVCHINPCS,PCS BUNCH FRESH *CHINESE* CHIVES,4.2500 
CHIVPCS,( PCS ) FRESH CHIVES,1.5000 
CHOCOCHIPS,AGROFUSION - CHOCOLATE CHIPS / 1KG,14.5000 
CHOCOCHIPTURT,TURTLE CHIPS CHOCO CHURROS (X14),63.9000 
CHOPKALE,2.27KG FRESH CHOPPED KALE,34.9500 
CHOPPARSLEY,FRESH CHOPPED ITALIAN PARSLEY / 5KG,74.9000 
CHOPPLG,FROZEN CHOPPED LEMONGRASS (1KG),5.9500 
CHOPSTICK20,CHOPSTICKS 20 CM BAMBOO (2000PAIRS),44.9500 
CHOPSUEY15,SMALL BOX CHOP SUEY (15LBS),17.7500 
CHOPSUEY15HALF,HALF SMALL BOX CHOP SUEY (15LBS),8.6500 
CHOPSUEY30,BIG BOX CHOP SUEY (30LBS),28.0000 
CHOPSUEYLBS,1LB CHOP SUEY,1.5500 
CHORIZOKG,CHORIZO SAUSAGE / KG,15.2500 
CHOUROUGEEM,FRESH - SHREDDED RED CABBAGE (5 KG),25.9500 
CHOUVERT10,FRESH - SHREDDED GREEN CABBAGE (10 KG),25.4500 
CHOUVERT227,FRESH - SHREDDED GREEN CABBAGE (2.27 KG),6.8000 
CHOUVERTEM,FRESH - SHREDDED GREEN CABBAGE (5 KG),15.0000 
CHOUXCAROT,FRESH - SHREDDED GREEN CABBAGE AND CARROT (5KG),16.9500 
CHOUXFLRET,5KG PRECUT CAULIFLOWER FLORETS,64.9500 
CHSEA,SEASONING  CHICKEN,113.1500 
CIABATTA6,PREMIERE MOISSON - CIABATTA BREAD 6INCH (48 X 120GR),39.9500 
CIBOUL,DRIED CHIVE FLAKES 350G,25.9500 
CINNGRND,GROUND CINNAMON (1.6KG),18.6000 
CINSTICK5,CINNAMON STICK (5 LBS),53.9500 
CINSTICKS,CINNAMON STICKS / BATONNETS DE CANNELLE 700G,16.9500 
CLAMAORIG,MOTTS - ORIGINAL CLAMATO (8 X 1.89L) (DEPOSIT 0.80$ INCLUDED),39.9000 
CLASSIBLUE20,CLASSI-K - BLUE RINSE AGENT (20L),95.2000 
CLASSIORANGE10,CLASSI-K - ORANGE FLOOR CLEANER (10L),26.7000 
CLASSIPINK10,CLASSI-K - PINK HAND SOAD (10L),20.0000 
CLASSIYELLAP10,CLASSI-K - YELLOW ALL PURPOSE CLEANER (10L),24.7500 
CLASSIYELLDS20,CLASSI-K DISHWASHER SANITIZER YELLOW (20L),58.9500 
CLASSIYELLDWL10,CLASSI-K - YELLOW DISHWASHING LIQUID (10L),15.9500 
CLEM,BIG BOX CLEMENTINES 9 KG,39.9000 
CLEMHALF,HALF BIG BOX CLEMENTINES,19.9500 
CLEMPCS,PCS CLEMENTINES,0.7500 
CLIC,CHICKPEAS IN CANS (6X2.84L),37.9500 
CLM-003F,CLAMS - LITTLE NECK QUAHAUGS - FRESH - (20 LBS/BAG) - P.E.I.,0.0000 
CLM-004F,CLAMS - FRAIS - 4.5KG/BAG - NOVA SCOTIA,0.0000 
CLM-005F,CLAMS - MIDNECK SAPLEO ISLAND - FRESH - (10 LB/BAG),68.4500 
CLM-006F,CLAMS - FRESH - PASTA/PALOURDES PASTANECK - USA,6.7500 
CLM-010,WHITE CLAMS WITH SHELL - 40/60 UNIT X KG - OCEAN,5.6000 
CLM-010F,CLAMS - FRESH - RAZOR CLAMS - (10 LBS/BAG),0.0000 
CLM-012,CLAM MEAT- 300-500 - FROZEN (20 X 300 GR),0.0000 
CLM-015,CLAM MEAT FROZEN (10X1LB),0.0000 
CLM-SQP,Palourdes - 454 grs - frais,15.0000 
CLOVESWHOLE,WHOLE CLOVES (380G),12.0000 
CMT-001,CONCH MEAT - FROZEN - (10X2KGS) - 44.092 LBS/CS,0.0000 
COCA32,COCACOLA ORIGINAL 32X355ML (ECOFEE 0.64 INCLUDED),21.6000 
COCAZERO32,COCA-COLA ZERO 32X355ML (ECOFEE 0.64 INCLUDED),21.6000 
COCOAPOW,AGROFUSION - CACAO POWDER 3KG,79.9500 
COCOCKMILK628,COCONUT MILK FOR COOKING / 6 X 2850ML,91.6500 
COCOMILKCAN,AROY-D / COCONUT MILK IN CAN 6 X 2900ML,99.8500 
COD,COD LOINS 4 OZ PACIFIC (10LB),77.9500 
COD30ZLOIN,COD LOINS 3 OZ PACIFIC (10LB),77.9500 
COD6,COD LOINS 6OZ (10LBS),88.1500 
COKEDT32,COKE DIET 32X355ML (ECOFEE 0.64 INCLUDED),21.6500 
COLLARD,COLLARD GREENS,32.7500 
COLORANTRED,RED FOOD COLORING (1L),35.2000 
COMPOPCS,APPLESNAX - APPLE SAUCE (1.24L),3.7500 
COMPOTE,APPLESNAX - APPLE SAUCE FULL BOX / 36 X 90G,20.0000 
COMPOTPOM6,APPLESNAX - APPLE SAUCE / 6 X 2.84L,49.0500 
CONFBL,KRAFT - BLUEBERRY JAM PORTIONS (200X16ML),60.9000 
CONFITUREFRAISE,STRAWBERRY JAM 1.5 L,22.7500 
CONFRASP,GOOD MORNING - RASPBERRY JAM PORTIONS (200X16ML),39.7000 
CONFSTGM,GOOD MORNING - STRAWBERRY JAM PORTIONS (200X16ML),27.7500 
CONSIG30,CONSIGNE (30 X 0.10),3.0000 
CONSIGNE10,CONSIGNE 0.10,0.1000 
CONSIGNE12,CONSIGNE (12 X 0.10),1.2000 
CONSIGNE20,CONSIGNE (20 X 0.10),2.0000 
CONSIGNE24-0.10,CONSIGNE (24 X 0.10),2.4000 
CONSIGNE28,CONSIGNE 0.10 ( 28 X 0.10),2.8000 
CONSIGNE32-0.10,CONSIGNE (32 X 0.10),3.2000 
CONSIGNE35-0.10,CONSIGNE (35 X 0.10),3.5000 
CONSIGNE6,CONSIGNE (6 X 0.10),0.6000 
CONSPC,PEAS AND CARROTS IN CAN (24X398ML),36.5000 
CONT26OZ,FOLD PAK - WHITE CONTAINER 26OZ (500UN),130.6500 
CONTBAG66,BAGASSE CONTAINER 6X6 (500UN),57.9900 
CONTBAG88,BAGASSE CONTAINER 8X8 (200UN),39.2500 
CONTBAG96,BAGASSE CONTAINER 9X6 (250UN),42.5500 
CONTBAG99,BAGASSE CONTAINER 9X9 (200UN),47.2500 
CONTDELI12,DELI 12OZ PLASTIC CONTAINER / LIDS INCLUDED (240UN),39.9500 
CONTDELI16,DELI 16OZ PLASTIC CONTAINER / LIDS INCLUDED (240UN),39.9500 
CONTDELI32,DELI 32OZ CONTAINER - LIDS INCLUDED (240 UNITS),52.9500 
CONTDELI8,DELI 8OZ PLASTIC CONTAINER / LIDS INCLUDED (240UN),39.2500 
CONTEP6,MFPP WHITE PLASTIC CONTAINER (6X6X3) (250 UN),30.9500 
CONTFRIES16,FRIES CONTAINER 16OZ (500UN),75.7000 
CONTLG,MFPP WHITE PLASTIC CONTAINER (9X9X3) (150 UNITS),36.9500 
CONTM,MFPP WHITE PLASTIC TAKE-OUT CONTAINERS 8X8X3 (150UN),33.0000 
CONTRECT42,42OZ RECTANGLE PLASTIC CONTAINER (50 UN),21.7500 
CONTSM,MFPP WHITE TAKE-OUT CONTAINERS 9X6X3 (150UN),29.9900 
CONTSUSHIV1,V1 CLEAR HINGED SUSHI CONTAINER / 500 UN,62.9500 
CONTSUSHIV5,V5 CLEAR HINGED SUSHI CONTAINER (240UN),71.9500 
COOKIESFORTUNE,CHINESE FORTUNE COOKIES / 400 UNITS,25.0000 
COR,BOX CORIANDER X24 (ST-CARLOS) QUEBEC,29.9000 
CORHALF,( HALF / DEMI ) CORIANDER / CORIANDRE =12,15.1500 
CORN,FRESH CORN ON THE COB (QC),35.0000 
CORNCAN6X,WHOLE CORN KERNEL / 6 X 2.84L,74.9000 
CORNFLAKES,KELLOGGS -CORN FLAKES CEREAL / 1.22KG,13.0000 
CORNKERNEL,WHOLE KERNEL CORN NIBLETS (12X341ML),18.9500 
CORNMINICAN,WHOLE MINIATURE CORN/  398G,4.0000 
CORNSIRUP,CORN SYRUP (2 X 2L),29.5000 
CORPCS,( PCS ) FRESH CORIANDER,1.5500 
CORRTX,CORRECTION TAX,0.0000 
CORSEEDS,CORIANDER SEEDS / 5 LB,21.9500 
COULCHOC,DORA - CHOCOLAT SYRUP / 2X2L,38.5000 
COULRASP,RASPBERRY COULIS (2X2L),18.0000 
COURGJULI,5KG PRECUT ZUCCHINI STICKS,6.1500 
COUSCOUSMED5,CLIC - MEDIUM COUSCOUS / 10 KG,33.9500 
COUVBULLE,LIDS FOR BUBBLE TEA CUPS / 20 X 100PCS (C95BH),156.5000 
CPRS,CAPERS CAPPUCCINE (2X3.78L),58.9500 
CRA-025,CRAB MEAT CLAW - FROZEN - 454 G/CAN,0.0000 
CRA-027,CRAB MEAT JONAH COMBO 80/20 (6X5LBS)- CAN,0.0000 
CRA-028,CRAB MEAT IN PIECES - (2 X 5LBS)- Aquastar,332.7000 
CRA-029,KING & PRINCE - CRAB CAKE 3OZ - (4 X 1.13KG) - USA,108.9000 
CRA-030,SOFT SHELL CRAB (100 - 120G) - 10 x 1 KG - JFC,369.6500 
CRA-031,SOFT SHELL CRAB (120 - 150 G) - 10 X 1 KG - JFC,369.6500 
CRA-113,FROZEN SNOW CRAB SEC 3L 1 X 30 LBS QC,0.0000 
CRA-126,CRAB MEAT - FROZEN - (12X 454 GRAMS)/CS,25.0000 
CRA-126F,FRESH PREMIUM CRAB MEAT - 1 X 454 G,23.9500 
CRA-128,CRAB MEAT 16 OZ - 1 X 454G - PHILLIPS,25.0000 
CRABPSTSOYPCS,CRABE PASTE WITH SOY BEAN OIL  / 430G,10.9500 
CRAWF,COOKED CRAWFISH 16/20 8X3LBS,91.6500 
CRE-009,RAW WHITE SHRIMP - FROZEN - PDTO - (21/25) - (5X2LBS/CS) - IQF -,0.0000 
CRE-010,FROZEN WHITE SHRIMP HLSO - BLOCK - 21/25 - (10X4LBS) - IQF - ECUADOR,87.4500 
CRE-011,WHITE SHRIMP - 16/20 - P&D TAIL-ON - 10 LB,84.9000 
CRE-013,WHITE SHRIMP P&D 26/30 - (5 X 2LBS) - 4FC,73.4500 
CRE-017,WHITE SHRIMP 26-30 PDTON- (5 X 2LBS) MENDA - INDIA,63.9000 
CRE-019,SRIMP WHITE COOKED 26-30 (20X400GR) SEA-RAY,179.6000 
CRE-021,WHITE SHRIMP - 21/25 - P&D TAIL-ON - (10 X 1 LB) - SEA-RAY,69.9500 
CRE-024,WHITE SHRIMP 8/12 - P&D TAIL-ON - 5 X 2 LB - AQUASTAR,122.9000 
CRE-025,Crevette BT 8/12- 6X4Lbs- HLSO  BLOCK,366.8500 
CRE-041,WHITE SHRIMP 41/50 PND TAIL OFF - 10 LBS - AQUASEA -INDIA,80.9500 
CRE-049,31/40 5X2LBS RPDTO-OFF,0.0000 
CRE-055,WHITE SHRIMP 31-40 PDTON- (5 X 2LBS) MENDA - INDIA,59.9500 
CRE-059,SHRIMP COOKED 21-25 20X400 GM SEA-RAY,192.3500 
CRE-077,SHRIMP BT 13/15 P&D TAIL-ON (5 X 2 LB) - VT,124.9000 
cre-077,Calmar entière T&T  U/10 - (6x2KG)-Aquasea - Thai,251.7500 
CRE-078,SHRIMP BT - 13/15 P&D TAIL-ON - (6X3 LBS/CS) MIRABEL,0.0000 
CRE-079,SHRIMP BT 21/25 P&D TAIL-ON - (5 X 2 LB) - SEA RAY,104.9000 
CRE-081,TEMPURA RAW SHRIMP 21/25 (20 TR X 10 PCS) (4KG/CS),0.0000 
CRE-082,CREVETTES BT 6/8 - HLSO -6X4 LBS- BLOCK,237.3000 
CRE-083,SHRIMP BT 13/15 - HLSO - 6X4 LBS - BLOCK,304.7500 
CRE-090,MATANE SHRIMPS - 90/125 - 4 X 5LB- IQF,232.8000 
CRE-093,MATAN SHRIMP 125/175 4X5LB-CAN,239.8000 
CRE-094,FROZEN DRIED SHRIMP PACK,6.7500 
CRE-096,WHITE SHRIMP - FROZEN - P&D - 31/40 - (10X2LBS/CS) - PERU,119.9000 
CRE-110,POP-CORN SHRIMP - 12 X 500 GR - AQUASTAR,91.4500 
