Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
APPEMPIREHALF,HALF QC APPLE *EMPIRE*,19.9500 
APPEMPIREPCS,PCS EMPIRE APPLE,0.5500 
APPFUJI,FUJI APPLE - POMME FUJI,62.9500 
APPGOLD,YELLOW DELICIOUS APPLE (APPROX 100UN),78.6500 
APPGOLDHALF,HALF YELLOW DELICIOUS APPLE (APPROX 100UN),35.2000 
APPGOLDPCS,PCS YELLOW DELICIOUS APPLES,0.8500 
APPGR,GREEN APPLE - GRANNY SMITH ( 100 TO 113 PCS ),64.9500 
APPGRHALF,( HALF CASE ) GREEN APPLE GRANNY SMITH / ( APPROX 50 PCS ),33.4000 
APPGRPCS,( PCS ) GREEN APPLE,0.8500 
APPLEHONEY,APPLE HONEYCRISP/ POMME HONEYCRISP,115.5000 
APPLOBO,QC APPLE *LOBO*,32.6500 
APPMC120,Pomme CLASSEE MC 125 QC,41.7000 
APPMINISM,SMALL BOX MINI APPLE QC,15.9500 
APPQC,MCINTOSH APPLES (30LBS),34.7500 
APPQCHALF,( HALF / DEMI ) POMME MCINTOSH APPLE,19.5000 
APPQCPCS,PCS QUEBEC APPLES MCINTOSH,0.6500 
APPRED,APPLES RED DELICIOUS ROUGE POMME BOX,55.4500 
APPREDHALF,( HALF / DEMI ) APPLES RED DELICIOUS = APPROX 50 UNITS,28.0000 
APPREDPCS,PCS APPLES RED DELICIOUS,0.7500 
APPRGAL,APPLES ROYAL GALA POMME,78.6500 
APPRGALHALF,HALF APPLES ROYAL GALA POMME,31.6000 
APPRGALPCS,PCS APPLES ROYAL GALA,0.8500 
APPSPARTAN,QC APPLE *SPARTAN*,32.6500 
APRIC2,DRIED APRICOTS / 1KG,22.5500 
APRICOTCAN,APRICOTS IN CAN (6 X 2.65L),89.9000 
APRIFRESH,APRICOT FRESH BOX,0.0000 
ARBOL,DRIED CHILE ARBOL 5LBS,36.7000 
ARCTJOUR,ARCTIC GARDENS - MIXED VEGETABLE DAY (6 X 2KG),55.9000 
AROYDCOCO12,AROYD - COCONUT MILK / 12 X 1L,56.9500 
AROYDLYCHEE,LYCHEE IN SYRUP (24X540ML),64.9500 
ART,FRESH ARTICHOKES (30UN) (CASE),63.9000 
ASP,ASPARAGUS LARGE ( 11 PCS - BOX ),88.0000 
ASPI,BROCCOLINI (CASE),49.9000 
ASPJUMBO,ASPARAGUS *JUMBO* (11UN),88.0000 
ASPPCS,( PCS ) ASPARAGUS,9.5000 
ASPWHITE,ASPERGE BLANC BOX,137.5500 
ASSVEGE,VEGETABLE SEASONING (625G),15.1000 
AVOCAFROZENBOX,FROZEN AVOCADO CHUNKS (5X1KG),43.7000 
AVOCAFROZENUN,FROZEN AVOCADO CHUNKS (1KG),9.7500 
AVOCOL14,*DO NOT USE*,38.5000 
AVOCPCS,PCS GREEN AVOCADOS (FROM SIZE 14),3.0500 
AVOTR14,TURN**** AVOCADO / SIZE 14 (4KG),31.9500 
AVOTRN20,TURN**** AVOCADO / SIZE 20 (4KG),25.4500 
AVOTRP48,TURN**** AVOCADO / SIZE 48 (11KG),59.9000 
BABYARUG,CLAMSHELL BABY ARAGULA (2LBS),16.5000 
BABYARUGMINI,(100GR) PACK MINI ROQUETTE,12.8500 
BABYBOK,BABY BOCK CHOY (30LBS),42.9500 
BABYBOKHALF,( HALF / DEMI ) BABY BOCKCHOY,26.5000 
BABYBOKLBS,LBS BABY BOCK CHOY,1.8000 
BABYSPI,BAG BABY SPINACH (2LBS),7.7500 
BABYSPIBOX,BABY SPINACH (5X2LBS),32.9500 
BAC,MILK CRATE,3.0000 
BAG9.8,9.8 X6X16 / BROWN PAPER BAG / 500UN,44.7000 
BAGBLK2224,BLACK GARBAGE BAGS 22X24 (500UN),25.7500 
BAGBLK2636,BLACK GARBAGE BAG 26X36 200UNIT,21.9500 
BAGBLK3550,EXTRA STRONG BLACK GARBAGE BAGS 35X50 (100UN),21.9500 
BAGBLK4248,BLACK GARBAGE BAGS 42X48 (100UN),28.0000 
BAGCL2224,CLEAR KITCHEN BAGS 22X24 (500UN),28.9500 
BAGCL3550,CLEAR GARBAGE BAGS 35X50 (100UN),42.5000 
BAGCLS2,S2 CLEAR PLASTIC BAGS (1000UN),36.1000 
BAGCLS5,S5 CLEAR PLASTIC BAGS (1000UN),55.4000 
BAGKIRK37,WHITE GARBAGE BAGS 37L (320UN),26.5500 
BAGP1,1LB KRAFT PAPER BAGS (1000UN),31.1000 
BAGP12,12LBS KRAFT PAPER BAGS (500UN),21.9500 
BAGP12X7,#65 12X7X17 KRAFT PAPER BAGS (500UN),55.9000 
BAGP14,14LBS KRAFT PAPER BAGS (500UN),26.9500 
BAGP2,2LBS BROWN PAPER BAGS (500UN),15.9500 
BAGP20,20LBS KRAFT PAPER BAGS (500UN),32.5000 
BAGP5,5LBS KRAFT PAPER BAGS (500UN),14.9500 
BAGP8,8LBS KRAFT PAPER BAGS (500UN),23.8000 
BAGPH10X5,10X5X13 KRAFT PAPER BAGS WITH HANDLE (250UN),35.0500 
BAGPH13X7,13X7X13 KRAFT PAPER BAGS WITH HANDLE (250UN),42.0500 
BAGROLL,FRUIT PLASTIC BAG ROLLS 10.5''X15'' (2UN),32.0500 
BAGUETTINES,FROZEN DEMI-BAGUETTES 20UN (3KG),17.7500 
BAGVACSEAL,SEALING BAGS 12/18 (100UN),31.5500 
BAKE100,POTATO BAKERS 100 COUNT,23.9500 
BAKE40,BAKER 40 - PATATE BAKER 40 USA,25.0000 
BAKE50,POTATO BAKERS 50 COUNT,38.9500 
BAKE60,POTATO BAKERS 60 COUNT,38.9500 
BAKE70,POTATO BAKERS 70 COUNT,34.9500 
BAKE80,POTATO BAKERS 80 COUNT,23.0000 
BAKEPOW,MAGIC - BAKING POWDER (2.5KG),39.9500 
BAKESODA,A & H - BAKING SODA (2KG),6.7500 
BAKROS,ADM BAKERS ROSES - ALL PURPOSE FLOUR (20KG),20.7000 
BALPANKO,BALITOV - KIKKOMAN PANKO BREAD CRUMBS 9KG,38.9500 
BALSAGLAZE,BALSAMIC GLAZE / 380ML,13.7500 
BAMBOOUNIT,BAMBOO SHOOT BIG TIP UNIT (1 KG),8.0000 
BAMBSHOOT,BAMBOO SHOOT TIP (15 X 1KG),87.9500 
BAMBSKEWTW,BAMBOO SKEWERS TWISTED 4 INCH (10X100UN),45.2500 
BANDERITA,LA BANDERITA - TORTILLA YELLOW CORN 6 INCH,59.9500 
BANDOLE,BANANA *DOLE* TURN,38.9500 
BANDOLEGREEN,BANANA *DOLE* GREEN,38.9500 
BANDOLEGREENHALF,HALF BANANA *DOLE* GREEN,19.9500 
BANGREEN,BANANA GREEN,33.9500 
BANGREENHALF,( HALF / DEMI ) GREEN BANANA / BANANE VERTE,16.9500 
BANGREENPCS,PCS GREEN BANANA,0.6500 
BANHBAO,BANH BAO - STEAMED BUNS CAKE BOX (50 X 397G),114.9000 
BANPCS,PCS TURN BANANA,0.6500 
BANTURN,BANANA TURN,33.9500 
BANTURNHALF,( HALF / DEMI ) HALF RIPE BANANA / BANANE TOURNEE,16.9500 
BANYELDOL,BANANA *DOLE* YELLOW,38.9500 
BANYELDOLHALF,HALF BANANA *DOLE* YELLOW,19.9500 
BANYELLOW,BANANA YELLOW,33.9500 
BANYELLOWHALF,( HALF / DEMI ) YELLOW BANANA / BANANE JAUNE,16.9500 
BANYELLOWPCS,PCS YELLOW BANANA,0.6500 
BAPLAST,BABY ARUGULA CLAMSHELL,16.9500 
BAR38,BARIL - FRESH POTATO FRIES 3/8 10KG,12.2000 
BARBBURGER,(838) BARBIES 3.5 BURGER BUN,52.5500 
BARBCHEESE,MCCAIN VALLEYFARM CHEESE STICKS,38.0000 
BARBFF,(4432)TATERCHEF 3/8 BATTERED,38.0500 
BARBJACK,(834) BARBIES JACK WHITE LOAF,60.6500 
BARBJACKBLE,(835) BARBIES JACK BLE ENTIER,60.6500 
BARBMOZZ,MCCAIN VALLEYFARM - MOZZARELLA STICKS (2KG),38.0000 
BARBROLLS,(837) BARBIES DINNER ROLLS,36.1000 
BARBSAV,(2453) MCCAIN SAVORY WEDGES,55.9000 
BARBSW,(497393)MCCAIN SWEET PLANK FRIES,41.5000 
BARBTOAST,(836) BARBIES FRENCH TOAST LOAF,63.7500 
BARBWINGS,(18732) BARBIES CHICKEN WINGS *EXCELDOR* 4KG,0.0000 
BARCUB,BARIL - FRESH POTATO CUBES / 10KG,12.7500 
BARICS,SAPUTO - BARI MOZZARELLA CHEESE 20% BLOC (10X2.4KG),335.6500 
BARIRO,BARIL - FRESH WHOLE PEELED ROUND POTATO / 10KG,14.5000 
BARSLI,BARIL - FRESH POTATO SLICED / 10KG,11.5000 
BAS-003,BASA FILLET 5OZ - 1 X 10lbs- BLUETIDE,29.9500 
BAS-004,BASA FILLET - FROZEN - 4OZ - (1X10LBS)/CS - 10LBS/CS,0.0000 
BAS-005,BASA FiILLETS - 8oz - (1X10lbs) FJOR,36.9500 
BAS-006,BASA FILLET - FROZEN - 8/10OZ - 24LBS/CS,0.0000 
BAS-007,BASA FILLET - FROZEN - 8/12OZ - 20LBS/CS,84.9000 
BAS-008,BASA FILLET - FROZEN - 8UP - (6 X 4LBS)  TROPICAL,69.9500 
BAS-010,Basa Fillet - 16/20 oz -1 X 30lbs - M/H trading -Ind,68.9000 
BAS-012,BASA FILLETS 18UP (6X4LBS),67.9000 
BASA,BASA FILLETS (30LBS),60.2000 
BASEPOUL20,ROSE HILL - CHICKEN SOUP BASE (20KG),119.9000 
BASIL,BOX BASILIC 1/2 KG,17.2000 
BASILCELLO12,FRESH BASIL CELLO (12 PACKS),30.7000 
BASILCELLOPCS,( PACK ) FRESH BASIL CELLO,2.7500 
BASILKGL,BOX BASIL 1 KG LOOSE,27.2000 
BASILOTT,1 KILO BASILIC BUNCHES (FOR OTTAVIO),28.0000 
BASILPCS,BUNCH FRESH BASIL,1.0000 
BASILRAP,SHREDDED BASIL 1KG,25.9500 
BASILTHAI,1 PACK THAI BASIL 500G,20.4500 
BASILTONI,1 KILO BASIL LOOSE FOR PIZZA TONI,24.4500 
BASMA18,BASMATI RICE 18.4KG,45.9500 
BASMATI,BASMATI RICE 6KG,18.0000 
BASMKUB,KUBBA - BASMATI RICE SUPER / 20X907G,71.9500 
BATFF,QUALIFRESH JULIENNE POTATOES,38.9500 
